Model,DPO4034,,,
-4.13E+02,0.72,-0.32,0.04,0.36
-4.13E+02,1.12,0.16,-0.2,-0.12
-4.12E+02,0.4,0.08,-0.28,0.04
-4.12E+02,0.08,0.64,-0.12,-0.2
-4.12E+02,-0.36,-0.88,0.04,0.2
-4.12E+02,-0.04,-0.88,-0.2,0.44
-4.12E+02,0,-0.56,-0.92,0.36
-4.12E+02,0.24,-0.48,-0.76,0.52
-4.12E+02,0.16,-0.64,-0.2,0.92
-4.12E+02,1.28,0.8,-0.84,0.68
-4.12E+02,0.64,0,0.36,0.52
-4.12E+02,0.4,-0.4,0.92,0.28
-4.12E+02,0.28,-2.08,0.28,0.36
-4.12E+02,0.56,-0.8,1.48,0.12
-4.12E+02,0.4,-0.24,0.6,0.12
-4.12E+02,-0.6,0.48,1.48,0.6
-4.12E+02,0.4,-0.4,-0.04,0.28
-4.12E+02,-0.12,-0.8,-0.04,0.92
-4.12E+02,-0.2,-0.08,-0.44,0.52
-4.12E+02,0.2,-0.24,-1.16,0.52
-4.12E+02,0.44,-0.96,-1,0.76
-4.12E+02,-0.24,-0.72,-0.36,0.68
-4.12E+02,0.16,0.48,-0.2,0.52
-4.12E+02,-0.68,-0.72,-0.04,0.68
-4.12E+02,-0.12,-1.68,-0.76,0.92
-4.12E+02,0.36,-0.56,-0.28,0.44
-4.12E+02,-0.08,-0.08,0.04,0.76
-4.12E+02,-0.04,0.96,0.28,0.76
-4.12E+02,-0.52,0.24,0.68,0.76
-4.12E+02,-1.68,-0.88,0.36,0.84
-4.12E+02,-1.6,-0.48,0.6,0.92
-4.12E+02,0.2,0.16,0.76,0.36
-4.12E+02,0.72,-0.4,1.16,0.44
-4.12E+02,0,0.48,1.16,0.28
-4.12E+02,-0.52,0.48,0.76,0.68
-4.12E+02,-0.32,0.56,0.6,0.44
-4.12E+02,-0.6,-0.32,-0.2,0.76
-4.12E+02,-1.16,1.04,-0.44,0.68
-4.12E+02,-1.04,0.48,0.04,0.84
-4.12E+02,0.08,0.24,-0.6,0.76
-4.12E+02,-1.16,0.56,-0.2,1.08
-4.12E+02,-0.36,0.24,0.12,0.76
-4.12E+02,0.64,0.32,-0.04,0.6
-4.12E+02,0.76,-0.4,0.04,0.6
-4.12E+02,-0.16,-0.4,-0.12,1.08
-4.12E+02,-1.08,0.56,1.16,1.16
-4.12E+02,0.04,0.48,0.76,1.16
-4.12E+02,0.12,-0.48,-0.04,0.76
-4.12E+02,-0.04,0,0.84,0.76
-4.12E+02,0.36,0.56,0.44,0.44
-4.12E+02,0.4,0.64,0.84,0.28
-4.12E+02,0.28,0.4,0.36,0.76
-4.12E+02,-0.44,0.4,-0.36,1
-4.12E+02,-0.12,-0.24,-1,0.76
-4.12E+02,1.52,-0.48,-1.24,0.68
-4.12E+02,0.56,-0.08,-1.16,0.84
-4.12E+02,0.04,-0.24,-0.84,0.52
-4.12E+02,0.72,0.8,-1.4,0.36
-4.12E+02,0.2,-0.4,-0.76,1.08
-4.12E+02,0.52,0.48,-0.2,0.84
-4.12E+02,-0.76,0.56,-1.16,0.6
-4.12E+02,-1.28,0.56,-0.28,0.6
-4.12E+02,0.52,0.24,-0.84,0.52
-4.12E+02,1.24,-0.24,-0.6,0.6
-4.12E+02,0.84,0.48,-0.68,0.36
-4.12E+02,0.24,0.72,-0.04,0.44
-4.12E+02,0.64,0.08,-0.28,0.68
-4.12E+02,-0.52,-0.16,-0.44,1.08
-4.12E+02,-0.84,1.28,-0.92,1
-4.12E+02,-0.32,0.08,0.28,1.24
-4.12E+02,1.04,-0.16,-0.28,0.84
-4.12E+02,-0.24,0.24,-0.04,0.76
-4.12E+02,-0.72,1.92,-0.12,0.28
-4.12E+02,0.04,0.88,0.2,0.36
-4.12E+02,-0.6,-0.72,-0.36,0.92
-4.12E+02,-0.68,0.24,0.6,1.08
-4.12E+02,-0.36,0.48,0.28,0.84
-4.12E+02,-0.04,0.72,0.12,0.92
-4.12E+02,0.12,0.16,0.04,0.84
-4.12E+02,-0.92,0.72,-0.04,0.92
-4.12E+02,-0.48,1.04,-0.12,0.76
-4.12E+02,0.8,0.72,-0.44,0.92
-4.12E+02,0.32,-0.08,0.12,0.76
-4.12E+02,-0.36,0,-0.12,0.76
-4.12E+02,-0.72,0.8,-0.04,0.6
-4.12E+02,0.36,-0.32,1,0.76
-4.12E+02,0.56,-0.48,0.04,1.16
-4.12E+02,-0.48,-0.16,0.92,1.24
-4.12E+02,-0.4,0,1.16,1
-4.12E+02,-0.12,0.32,1.08,1
-4.12E+02,0.04,0.32,0.44,0.76
-4.12E+02,-1.32,0,0.52,1.16
-4.12E+02,-0.92,0.48,0.28,1
-4.12E+02,0,-0.8,1.16,1.56
-4.12E+02,-0.04,-0.8,0.92,1
-4.12E+02,0.2,-0.08,1.32,0.68
-4.12E+02,0.72,0,0.6,0.52
-4.12E+02,-0.68,-0.64,-0.52,0.92
-4.12E+02,-0.48,-0.96,-0.2,0.6
-4.12E+02,-0.32,-0.4,-0.28,0.68
-4.12E+02,0.2,-0.72,0.76,0.6
-4.12E+02,1.04,-1.2,0.44,0.68
-4.11E+02,-0.24,0.24,0.36,1.08
-4.11E+02,-0.04,0.08,-0.12,0.76
-4.11E+02,-0.12,-0.56,0.44,1.4
-4.11E+02,0.44,-0.72,-0.44,1.32
-4.11E+02,-1.08,-0.08,-0.28,0.6
-4.11E+02,-0.28,0.24,0.6,0.76
-4.11E+02,0.6,-0.32,0.28,0.44
-4.11E+02,-0.52,-0.32,0.28,0.76
-4.11E+02,-0.2,0.08,0.12,0.68
-4.11E+02,0.04,-0.8,0.76,0.76
-4.11E+02,0.64,-0.88,-0.2,0.52
-4.11E+02,0.32,-1.2,-0.04,0.76
-4.11E+02,0.6,0,-0.6,0.6
-4.11E+02,0.16,-0.48,0.12,0.92
-4.11E+02,0.56,-0.48,-0.68,1.24
-4.11E+02,-0.56,0.48,-0.44,0.84
-4.11E+02,-0.08,0.4,-0.2,0.44
-4.11E+02,0.56,-0.08,0.36,0.76
-4.11E+02,0.24,0.8,1,0.28
-4.11E+02,-0.8,0.88,0.84,0.12
-4.11E+02,-0.8,0.88,0.68,0.92
-4.11E+02,0.56,0.72,-0.12,0.52
-4.11E+02,1.6,0.24,0.36,0.44
-4.11E+02,0.52,0.64,-0.52,0.28
-4.11E+02,-0.52,1.44,-0.04,0.28
-4.11E+02,0,0.4,1.56,0.68
-4.11E+02,0.12,-0.24,0.84,0.92
-4.11E+02,-0.08,-0.24,-0.44,0.68
-4.11E+02,0.72,-0.4,-0.68,0.12
-4.11E+02,0.88,-1.04,-0.52,1
-4.11E+02,0.36,0,-0.36,1
-4.11E+02,-0.88,1.2,-0.12,0.92
-4.11E+02,-0.16,1.2,1.16,0.52
-4.11E+02,-0.08,0,0.44,0.52
-4.11E+02,-0.64,-0.08,0.28,0.68
-4.11E+02,-0.08,0.32,1.64,0.28
-4.11E+02,0.2,-0.24,1.24,0.2
-4.11E+02,-0.08,-0.64,1.08,0.44
-4.11E+02,-0.68,-0.08,1.08,0.44
-4.11E+02,-0.88,-0.08,0.52,0.52
-4.11E+02,0.36,-0.08,-0.44,0.44
-4.11E+02,-0.08,-1.36,0.12,1
-4.11E+02,-0.8,-0.64,-0.12,0.68
-4.11E+02,-1.36,0.24,-0.68,0.76
-4.11E+02,-0.28,0.72,-0.68,0.44
-4.11E+02,-0.56,-0.08,-0.6,0.92
-4.11E+02,-0.12,-0.32,-0.44,0.36
-4.11E+02,-0.12,0.08,0.04,0.2
-4.11E+02,0.12,-0.88,0.68,0.04
-4.11E+02,0.4,-1.2,0.92,0.36
-4.11E+02,0.52,-0.32,0.76,0.2
-4.11E+02,-0.08,0.08,0.92,0.2
-4.11E+02,0.2,-0.32,1,-0.12
-4.11E+02,0.08,-1.28,1.16,0.28
-4.11E+02,-1.08,-0.4,0.76,0.44
-4.11E+02,-0.72,-0.08,0.12,0.52
-4.11E+02,0.6,0.24,-0.28,0.2
-4.11E+02,-0.28,0.8,0.28,0.28
-4.11E+02,-0.4,0.64,-0.12,0.12
-4.11E+02,-0.04,1.68,0.28,0.04
-4.11E+02,0.16,0.32,-0.28,-0.04
-4.11E+02,0.72,0.4,-0.84,0.12
-4.11E+02,0.6,0.64,-0.2,-0.2
-4.11E+02,-0.68,-0.08,0.52,0.36
-4.11E+02,0.92,-0.32,-0.2,0.04
-4.11E+02,0.76,-0.24,-0.12,0.2
-4.11E+02,0.16,0.08,-0.36,0.12
-4.11E+02,0.68,-0.4,-0.04,0.28
-4.11E+02,1.36,-0.4,-0.2,-0.12
-4.11E+02,-0.64,-0.32,-0.2,0.2
-4.11E+02,-1.44,0.32,-0.12,0.2
-4.11E+02,-0.16,-0.56,-0.28,0.2
-4.11E+02,-0.08,-0.8,0.2,0.36
-4.11E+02,0.16,0.48,-0.28,0.28
-4.11E+02,0.28,0.48,0.44,0.28
-4.11E+02,0.04,-0.16,0.12,0.28
-4.11E+02,0,-0.24,0.12,0.28
-4.11E+02,0.2,0.08,-0.44,-0.2
-4.11E+02,-0.28,-0.32,0.52,0.2
-4.11E+02,0.88,-1.12,0.76,0.2
-4.11E+02,-0.92,-0.72,-0.68,0.2
-4.11E+02,-1.52,-0.08,-0.2,0.2
-4.11E+02,0.2,-0.96,0.2,0.28
-4.11E+02,0.76,-1.2,0.44,0.6
-4.11E+02,1.04,-0.64,-0.28,0.2
-4.11E+02,0,-0.16,0.12,0.04
-4.11E+02,-0.6,-0.48,0.76,0.04
-4.11E+02,-0.08,-0.64,0.12,0.28
-4.11E+02,0,-0.96,0.52,0.2
-4.11E+02,0.36,-0.08,0.44,0.04
-4.11E+02,0.2,-0.8,-0.04,0.2
-4.11E+02,0.16,-0.48,-0.28,0.44
-4.11E+02,0.4,0,-0.6,0.2
-4.11E+02,-0.08,1.2,-0.76,0.36
-4.11E+02,0.24,0.4,-0.36,0.44
-4.11E+02,0.92,0.56,0.2,0.2
-4.11E+02,-0.04,0.48,0.6,0.04
-4.11E+02,0.08,1.52,0.52,-0.12
-4.11E+02,-0.48,0.48,0.76,0.36
-4.11E+02,0.08,-0.24,-0.04,0.52
-4.10E+02,0.12,0,-1.08,0.44
-4.10E+02,-0.08,0.88,-1.16,0.2
-4.10E+02,0.44,1.12,0.44,0.44
-4.10E+02,0.24,0.56,-1.16,0.28
-4.10E+02,-0.76,0,-0.92,0.44
-4.10E+02,-0.12,0.24,-0.68,0.6
-4.10E+02,0.56,0.64,0.12,0.28
-4.10E+02,0.28,0.4,0.2,0.28
-4.10E+02,-1.12,0.32,0.12,0.52
-4.10E+02,-0.12,1.28,0.28,0.44
-4.10E+02,-0.12,0.72,0.2,0.36
-4.10E+02,-0.28,0.32,0.2,0.6
-4.10E+02,-0.76,1.04,-0.68,0.12
-4.10E+02,-0.56,0.96,-0.44,0.44
-4.10E+02,1.04,0.16,-0.12,0.44
-4.10E+02,0.24,-0.08,-0.52,0.44
-4.10E+02,-0.56,0.72,-0.84,0.04
-4.10E+02,0.12,-0.4,-0.52,0.28
-4.10E+02,-0.16,-1.2,-0.76,0.6
-4.10E+02,-0.2,-0.08,-0.76,0.44
-4.10E+02,-0.48,0.8,-0.28,0.68
-4.10E+02,-0.04,0.48,0.12,1
-4.10E+02,-0.08,0.08,0.52,0.76
-4.10E+02,-0.88,-0.08,0.52,0.84
-4.10E+02,-1.48,0.72,0.44,0.44
-4.10E+02,-0.04,-0.96,0.76,0.2
-4.10E+02,0.64,-0.8,0.04,0.6
-4.10E+02,-0.08,-0.88,-0.2,0.2
-4.10E+02,0.48,0.4,-0.36,0.2
-4.10E+02,0.96,-1.6,-0.12,0.6
-4.10E+02,0.04,-1.84,-0.6,0.76
-4.10E+02,0,-0.4,0.04,0.28
-4.10E+02,1.12,-1.36,0.04,0.6
-4.10E+02,1.56,-0.48,-0.2,0.44
-4.10E+02,0.12,-1.2,-0.28,0.92
-4.10E+02,0.16,0.32,-0.28,0.76
-4.10E+02,0.6,-0.24,0.12,0.52
-4.10E+02,0.4,-1.68,-0.12,0.68
-4.10E+02,-0.2,-1.2,-0.68,1
-4.10E+02,-0.8,0.16,-0.44,1
-4.10E+02,0.08,0,-0.44,1
-4.10E+02,0.8,-0.24,-0.44,0.84
-4.10E+02,-0.8,0,-0.12,0.76
-4.10E+02,-0.04,0.08,0.44,0.44
-4.10E+02,-0.36,-0.4,0.84,0.6
-4.10E+02,-1.08,-0.64,0.12,0.68
-4.10E+02,-0.52,-0.56,0.2,0.6
-4.10E+02,0.12,0.24,-0.36,0.44
-4.10E+02,1.12,-0.08,0.68,0.76
-4.10E+02,1.48,-0.32,-0.28,0.84
-4.10E+02,0.2,0.24,-0.52,1
-4.10E+02,-0.04,1.12,0.04,1.08
-4.10E+02,1.08,-0.24,-0.84,0.84
-4.10E+02,0.84,0.32,-0.52,0.76
-4.10E+02,0.16,0.48,-1.32,0.6
-4.10E+02,-0.08,1.76,-0.2,0.84
-4.10E+02,-0.28,-0.08,-0.2,1
-4.10E+02,-1.32,0.32,0.2,0.84
-4.10E+02,-0.56,1.36,0.76,0.52
-4.10E+02,-0.44,0.4,1.16,1.08
-4.10E+02,-0.04,-0.16,0.52,1.24
-4.10E+02,0,0.08,0.52,0.76
-4.10E+02,0.04,0.72,0.84,0.36
-4.10E+02,0.04,0.4,0.04,0.2
-4.10E+02,0.28,-0.56,0.68,0.84
-4.10E+02,0.76,-0.08,-0.84,0.52
-4.10E+02,-0.76,0.24,-1.16,0.84
-4.10E+02,-0.36,1.12,-1.56,1
-4.10E+02,-0.04,0.24,-1.16,1.16
-4.10E+02,-0.64,-0.16,-0.68,0.92
-4.10E+02,-0.44,0.48,-0.36,0.44
-4.10E+02,0.16,-0.64,-0.12,0.92
-4.10E+02,-0.44,-0.8,-0.2,1
-4.10E+02,-0.32,-0.24,0.36,1.08
-4.10E+02,0.24,0.96,0.36,0.36
-4.10E+02,0.64,0,1.08,0.68
-4.10E+02,0.48,-0.64,0.52,0.6
-4.10E+02,-1.92,-0.08,1.08,1
-4.10E+02,-0.92,0.32,1.72,0.52
-4.10E+02,-0.4,-0.32,1.72,1.48
-4.10E+02,-0.16,-0.56,-0.28,1.16
-4.10E+02,-0.4,0.72,0.12,1.16
-4.10E+02,-0.16,0.8,0.04,1
-4.10E+02,-0.88,0.08,-0.28,0.76
-4.10E+02,-0.64,-0.64,-0.12,1.24
-4.10E+02,0.24,1.12,-0.04,0.76
-4.10E+02,-0.28,-0.24,0.12,0.84
-4.10E+02,-0.84,-0.24,0.44,0.76
-4.10E+02,-0.24,0.24,0.52,0.28
-4.10E+02,0.04,-0.08,-0.2,0.52
-4.10E+02,0,-0.4,-0.28,0.68
-4.10E+02,0.4,-0.96,-0.84,0.92
-4.10E+02,-0.72,-0.24,-0.68,1.16
-4.10E+02,0.48,1.28,-0.92,0.92
-4.10E+02,-0.04,0.24,0.2,1.32
-4.10E+02,-0.36,0,-0.92,0.68
-4.10E+02,-0.96,-0.16,-0.28,0.84
-4.10E+02,-0.88,-0.08,0.68,1.24
-4.10E+02,0.28,-0.08,0.44,1
-4.10E+02,1.2,-0.08,0.68,0.84
-4.09E+02,-0.08,-0.32,0.44,1.08
-4.09E+02,-1.32,-0.08,0.76,1.56
-4.09E+02,-0.32,-0.48,-0.2,1.32
-4.09E+02,-0.36,-1.28,-0.28,1.4
-4.09E+02,0,0.4,-0.6,0.76
-4.09E+02,0.28,0.16,0.12,1
-4.09E+02,0.16,-0.24,1.48,1.24
-4.09E+02,-0.04,-0.24,1.64,0.76
-4.09E+02,0,-0.4,1.08,0.52
-4.09E+02,0.24,-0.16,0.28,0.6
-4.09E+02,0.16,-0.48,0.12,0.92
-4.09E+02,-0.6,0,-0.28,1.08
-4.09E+02,-0.16,0.16,-0.36,0.84
-4.09E+02,0.08,0.4,-0.04,0.84
-4.09E+02,-0.44,0,-0.76,0.84
-4.09E+02,-0.4,-0.08,-1,0.68
-4.09E+02,0.56,0.08,-1,0.92
-4.09E+02,0.28,-0.56,-0.92,1.08
-4.09E+02,0.88,-0.08,-0.92,0.6
-4.09E+02,0.36,0.08,-0.6,0.36
-4.09E+02,-0.68,-0.4,-0.12,0.76
-4.09E+02,0.28,-0.16,-0.76,0.68
-4.09E+02,-0.84,-0.08,-1.16,0.92
-4.09E+02,-0.64,0.96,-0.2,0.68
-4.09E+02,-0.52,0,0.2,0.68
-4.09E+02,-0.72,-0.08,0.2,0.92
-4.09E+02,0.16,-0.88,0.76,1.08
-4.09E+02,0.56,0.16,0.52,0.76
-4.09E+02,0.6,-0.88,1.16,0.76
-4.09E+02,-0.08,-0.96,0.6,0.84
-4.09E+02,-0.84,-0.16,0.6,0.52
-4.09E+02,-0.36,0.24,0.2,0.04
-4.09E+02,0.64,-0.32,0.2,0.2
-4.09E+02,0.6,-0.64,0.92,0.76
-4.09E+02,0.32,-0.56,0.52,0.6
-4.09E+02,-0.44,-0.32,0.68,0.92
-4.09E+02,0.36,-0.32,0.36,0.6
-4.09E+02,0.72,0.08,-0.44,0.84
-4.09E+02,-0.96,-0.64,-0.44,1
-4.09E+02,-0.44,0.32,-0.6,0.6
-4.09E+02,-0.36,-0.72,-0.12,0.6
-4.09E+02,0,-0.32,0.04,1
-4.09E+02,0.92,0.32,-0.2,0.36
-4.09E+02,0.2,-0.16,0.2,0.44
-4.09E+02,0.08,0.24,-0.68,0.6
-4.09E+02,-0.24,0.48,-1.08,0.44
-4.09E+02,-0.64,-0.16,-1.32,0.52
-4.09E+02,-0.6,-0.24,-0.6,0.76
-4.09E+02,1.12,0.16,-0.52,0.68
-4.09E+02,0.6,-0.08,-0.76,0.68
-4.09E+02,1.44,-0.08,-0.12,0.28
-4.09E+02,0.2,0.24,0.68,0.52
-4.09E+02,-0.24,-0.32,1.16,0.84
-4.09E+02,0.2,-0.48,0.36,0.52
-4.09E+02,-0.12,0.08,1.32,0.6
-4.09E+02,0.4,0.8,1,0.6
-4.09E+02,-0.76,0.16,0.44,0.92
-4.09E+02,-0.72,0.56,0.76,0.92
-4.09E+02,-0.36,0.24,0.44,0.76
-4.09E+02,-0.64,0.16,0.76,0.84
-4.09E+02,-0.24,0.72,-0.12,0.68
-4.09E+02,-0.68,0.4,-0.6,0.84
-4.09E+02,-0.4,1.04,-1.16,0.68
-4.09E+02,-0.4,0.32,0.12,0.68
-4.09E+02,0.44,0.64,-0.2,0.44
-4.09E+02,0,0.56,-0.84,0.2
-4.09E+02,-0.36,0.72,0.52,0.2
-4.09E+02,0.72,-0.24,0.2,0.6
-4.09E+02,-0.08,-0.56,0.28,0.68
-4.09E+02,-0.28,-0.32,0.04,0.76
-4.09E+02,0.72,-0.08,0.12,0.2
-4.09E+02,1.72,-0.32,0.04,0.44
-4.09E+02,0.92,-0.64,0.2,0.44
-4.09E+02,0.08,0.48,-0.44,0.2
-4.09E+02,-0.16,1.04,0.04,-0.12
-4.09E+02,0.48,-0.08,-0.76,0.2
-4.09E+02,0.08,-0.8,-0.68,0.52
-4.09E+02,0.28,0.24,-1.32,-0.04
-4.09E+02,-0.04,-0.72,-1.4,0.28
-4.09E+02,0.6,-0.08,0.6,0.36
-4.09E+02,1.52,-0.48,-0.52,-0.12
-4.09E+02,-0.4,0,-0.36,0.2
-4.09E+02,-0.04,-0.08,-0.44,0.52
-4.09E+02,0.96,-0.24,-0.52,0.28
-4.09E+02,-0.52,-0.08,-0.12,0.44
-4.09E+02,-0.64,0.8,-0.44,0.12
-4.09E+02,0,-0.48,0.92,0.44
-4.09E+02,-0.24,-0.4,0.28,0.6
-4.09E+02,-0.76,0.88,0.6,0.36
-4.09E+02,0.56,1.36,1.64,0.28
-4.09E+02,-0.56,-0.08,1.88,0.2
-4.09E+02,-1.16,0.08,1.08,0.2
-4.09E+02,0.16,0.4,1,-0.44
-4.09E+02,-0.64,0.24,0.68,-0.36
-4.09E+02,-0.28,0.08,0.2,-0.2
-4.09E+02,0.8,0.64,-1.48,-0.28
-4.09E+02,-0.56,0.72,-1.16,0.2
-4.09E+02,-0.88,0.72,-1.32,0.36
-4.09E+02,-0.32,0,-1.08,0.76
-4.09E+02,-0.68,-0.08,-0.68,0.92
-4.08E+02,-1.12,-0.16,-0.28,0.6
-4.08E+02,0.44,-0.08,-0.6,0.04
-4.08E+02,0.56,-0.88,1.32,0.36
-4.08E+02,0.96,0.24,0.76,-0.28
-4.08E+02,0.24,-0.24,1.64,-0.12
-4.08E+02,-0.04,-0.48,0.76,0.12
-4.08E+02,-0.04,-0.4,0.36,0.36
-4.08E+02,-0.12,0.16,0.2,0.28
-4.08E+02,-0.24,0.08,-0.28,0.12
-4.08E+02,-0.8,-0.08,0.44,0.6
-4.08E+02,0.76,0.32,0.36,0.36
-4.08E+02,0.32,0.48,0.04,0.2
-4.08E+02,-0.72,0.96,-0.12,0.44
-4.08E+02,0.12,-0.08,-0.12,0.76
-4.08E+02,0.28,-0.8,-0.12,1
-4.08E+02,0.12,-0.24,-0.52,0.04
-4.08E+02,0.12,0.48,0.44,0.04
-4.08E+02,-0.08,-0.4,0.6,0.2
-4.08E+02,0.08,-0.32,0.44,-0.12
-4.08E+02,-0.88,0.56,0.36,0.04
-4.08E+02,-0.64,0.8,0.76,0.28
-4.08E+02,-0.6,0.16,-0.12,0.2
-4.08E+02,-0.12,-1.12,0.44,0.92
-4.08E+02,0.2,0.16,-0.04,0.2
-4.08E+02,0.24,0.24,0.12,0.28
-4.08E+02,0.8,-0.64,0.44,0.76
-4.08E+02,0.92,-0.4,0.2,0.12
-4.08E+02,-0.56,0,0.68,0.12
-4.08E+02,-1.04,-0.08,1.08,0.44
-4.08E+02,0.04,0.24,0.6,0.52
-4.08E+02,0.12,0.08,0.12,0.28
-4.08E+02,-0.72,1.04,-0.04,0.44
-4.08E+02,-0.36,0.72,0.04,0.2
-4.08E+02,0.28,0.08,0.2,-0.04
-4.08E+02,-0.16,0.48,-0.04,0.36
-4.08E+02,-0.12,0.72,0.36,0.04
-4.08E+02,0.36,0,0.6,0.28
-4.08E+02,0.6,-1.44,0.12,0.36
-4.08E+02,1.24,-0.56,-0.12,0.04
-4.08E+02,0.36,0.16,0.12,0.76
-4.08E+02,0.8,-0.4,0.52,0.36
-4.08E+02,1.56,-0.4,-0.04,0.28
-4.08E+02,0.56,-0.56,0.76,0.12
-4.08E+02,0.52,-0.56,0.28,0.2
-4.08E+02,0.2,-0.48,-0.2,0.2
-4.08E+02,0.2,-0.48,-0.2,0.28
-4.08E+02,-0.2,-0.08,-0.12,1
-4.08E+02,0.2,1.04,0.36,0.68
-4.08E+02,0.08,0.48,0.44,0.52
-4.08E+02,0.24,0,0.44,0.52
-4.08E+02,-0.36,0.24,0.68,0.44
-4.08E+02,-0.36,-0.08,1,0.6
-4.08E+02,0.76,0.16,0.76,0.28
-4.08E+02,0.04,-0.08,0.52,0.52
-4.08E+02,-0.12,0.24,0.6,0.44
-4.08E+02,0.52,0.56,0.36,0.2
-4.08E+02,0.32,0.48,-0.36,0.28
-4.08E+02,-0.48,-0.16,-0.28,0.52
-4.08E+02,0.08,0.48,-0.28,0.12
-4.08E+02,-0.04,0,-0.12,0.76
-4.08E+02,0.28,0.72,-0.28,0.68
-4.08E+02,0.72,0.56,-0.84,0.52
-4.08E+02,0.88,0.96,0.28,0.6
-4.08E+02,1.28,0.32,-0.68,0.84
-4.08E+02,0.08,-0.64,0.2,0.92
-4.08E+02,-1.28,0,0.04,0.68
-4.08E+02,-1.12,-0.08,0.76,0.84
-4.08E+02,0.2,-0.72,1,0.84
-4.08E+02,0.68,-0.72,-0.04,0.76
-4.08E+02,0.68,-0.4,1.32,0.6
-4.08E+02,0,0.56,1,0.52
-4.08E+02,0.08,0.48,1.08,0.92
-4.08E+02,1,-0.32,0.44,0.28
-4.08E+02,-0.28,0.16,0.76,0.52
-4.08E+02,-0.48,0.56,0.6,0.44
-4.08E+02,-0.48,-0.56,0.92,1
-4.08E+02,0.04,-0.32,0.28,0.92
-4.08E+02,0.52,1.52,-0.04,0.6
-4.08E+02,0.64,0.48,0.04,0.92
-4.08E+02,0.12,-0.08,0.52,0.84
-4.08E+02,-0.44,0.16,-0.6,0.84
-4.08E+02,-1.28,0.64,-0.28,1.08
-4.08E+02,-0.12,0.24,-0.28,0.76
-4.08E+02,1.12,-0.08,-0.84,0.52
-4.08E+02,0.8,1.12,-1,0.12
-4.08E+02,0.12,1.68,-0.12,0.76
-4.08E+02,-0.32,0.24,0.36,0.44
-4.08E+02,-0.12,-0.56,0.76,0.6
-4.08E+02,-0.8,-0.08,-0.28,0.36
-4.08E+02,-0.24,0.4,0.12,0.36
-4.08E+02,0.72,-0.72,0.6,1
-4.08E+02,0.08,0,-0.12,0.92
-4.08E+02,-0.84,1.2,0.04,0.52
-4.08E+02,0.12,0.96,0.12,0.28
-4.08E+02,0.48,-0.4,-0.12,0.52
-4.08E+02,0.4,0.08,-1.08,0.52
-4.08E+02,0.52,0.32,-1.08,0.44
-4.08E+02,-0.56,0.08,0.12,0.92
-4.08E+02,0.16,-0.32,-1,1
-4.08E+02,-0.12,0.08,-0.28,0.92
-4.07E+02,-0.68,0.32,-1.08,0.92
-4.07E+02,-0.04,-0.08,-1.08,0.76
-4.07E+02,0.48,-0.24,-1.32,0.68
-4.07E+02,0.6,-0.08,-1,0.44
-4.07E+02,-0.16,0.32,0.6,0.6
-4.07E+02,1.24,-0.08,0.68,0.12
-4.07E+02,1.84,-0.16,1.4,0.12
-4.07E+02,-0.24,-0.32,1.08,0.76
-4.07E+02,-0.76,0.48,1.08,0.92
-4.07E+02,0.12,0.16,0.12,0.76
-4.07E+02,0.08,-0.24,0.04,1.16
-4.07E+02,-0.08,-0.08,-0.76,0.76
-4.07E+02,-0.32,0.64,-0.52,1.16
-4.07E+02,0.84,-0.08,-0.6,0.28
-4.07E+02,0.04,-0.24,-0.68,0.6
-4.07E+02,-0.64,0.32,-0.76,0.6
-4.07E+02,-0.96,0.16,0.6,0.76
-4.07E+02,-0.56,-1.04,0.04,1
-4.07E+02,-0.68,-0.32,0.12,1.16
-4.07E+02,-0.64,1.36,-0.2,0.52
-4.07E+02,0,0.48,-1,0.36
-4.07E+02,-0.8,0.4,-1,1
-4.07E+02,-1.12,0.8,-0.68,0.76
-4.07E+02,-0.72,0.72,-0.84,1
-4.07E+02,-0.44,-0.16,-0.68,0.92
-4.07E+02,-0.08,-0.96,0.6,1.32
-4.07E+02,0.56,-0.32,0.04,1.24
-4.07E+02,0.4,0,-0.36,0.2
-4.07E+02,0.8,0,-0.84,0.28
-4.07E+02,1.08,-0.56,-0.6,0.6
-4.07E+02,-0.12,-0.48,-1.24,0.44
-4.07E+02,-0.24,-0.08,0.12,0.68
-4.07E+02,0.8,-0.08,-0.04,0.44
-4.07E+02,0.6,0,0.12,0.68
-4.07E+02,-0.36,0.16,0.6,0.6
-4.07E+02,-0.24,1.6,0.28,1
-4.07E+02,0.24,0,0.6,1
-4.07E+02,0.64,-0.8,0.2,0.76
-4.07E+02,0.08,0.16,0.44,1.16
-4.07E+02,-0.16,0,0.76,1.16
-4.07E+02,0.8,-0.16,0.84,0.44
-4.07E+02,0.96,0.24,0.44,0.28
-4.07E+02,-0.2,0.72,0.6,-0.12
-4.07E+02,0.16,0.08,1.4,0.28
-4.07E+02,1.24,-0.56,0.6,0.28
-4.07E+02,0.24,0.24,0.28,0.52
-4.07E+02,0.6,0.48,-0.12,0.52
-4.07E+02,0.16,-0.56,-0.28,0.84
-4.07E+02,0,-0.08,-1.08,0.52
-4.07E+02,-0.12,0.16,-1.48,0.76
-4.07E+02,-1.24,0.56,-1.16,1
-4.07E+02,-0.16,0.32,-1,0.68
-4.07E+02,0.52,1.28,-1.16,0.12
-4.07E+02,-0.64,1.12,-1.16,0.36
